Facility Name,Location Address,Location Address2,City,State,Zip Code,County,Region,Phone Number,Owner Name,Owner Type,Activity Desc,Activity Number,Active,East Coordinate,North Coordinate,Accuracy Code,Waste Types,Authorization Number,Authorization Issue Date,Expiration Date,Georeference
Ford & Sons Salvage Inc,158 Fordlea Road,,Westtown,NY,10998,Orange,3,8457263288,Ralph Ford,Private,VDF - large - registration,[36V50012],Yes,538851,4578329,,End of Life Vehicles,36V50012,10/03/2019,10/02/2024,"158 Fordlea Road
Westtown, NY 10998
(41.353349, -74.532738)"
Peckham Materials - Port Chester,1 Purdy Avenue,,Port Chester,NY,10573,Westchester,3,9143930509,Peckham Materials Corp,Private,C&D processing - registration,[60W13],Yes,612701,4539147,,,60W13,,,"1 Purdy Avenue
Port Chester, NY 10573
(40.995644, -73.659985)"
Westport Transfer Station,Ledge Hill Road,,Elizabethtown,NY,12993,Essex,5,5189624419,Essex County,County,RHRF - registration,[16R32],Yes,617430,4894623,,,16R32,02/09/1994,,
MacArthur Compost Facility,1101 Railroad Avenue,,Ronkonkoma,NY,11779,Suffolk,1,6314673259,Town of Islip,Municipal,Composting - yard waste - permit,[52Y18],Yes,659404,4518886,,Yard Waste,1-4728-00969/00002,07/27/2017,07/26/2022,"1101 Railroad Avenue
Ronkonkoma, NY 11779
(40.805576, -73.110268)"
Adams Transfer Station,6224 County Rt 97,,Town of Lorraine,NY,13605,Jefferson,6,3152323057,Town of Adams,Municipal,Transfer facility - registration,[23T10034],Yes,419329,4847764,1 - No accuracy stated,MSW (Residential/Institutional & Commercial);Waste Tires;Construction & Demolition Debris,23T10034,11/18/2020,11/18/2025,"6224 County Rt 97
Town of Lorraine, NY 13605
(43.778695, -76.002578)"
Moriah Transfer Station,Joyce Road,,Moriah,NY,12974,Essex,5,5185468631,Essex County,County,Transfer station - registration,[16R27],Yes,618131,4882223,,MSW (Residential/Institutional & Commercial);Construction & Demolition Debris,16R27,,,
Gooseneck Farms Sand and Gravel,8193 Putnam Rd,,Chautauqua,NY,14781,Chautauqua,9,7169694858,Gooseneck Farms Inc.,Private,CDDHRF - uncontaminated unadulterated wood - registration,[07C50062],Yes,121113,4683231,4.2 - Utilization of GIS and existing spatial data,Wood (Unadulterated),07C50062,12/22/2021,12/22/2026,"8193 Putnam Rd
Chautauqua, NY 14781
(42.209993, -79.589116)"
Allegany Transfer Station,11 West Union Street,,Allegany,NY,14706,Cattaraugus,9,7163727822,Cattaraugus County DPW,County,RHRF - 5 tpd or less - registration,[05R10008],Yes,210519,4665914,,Plastic;Container Glass;Electronics;Paperboard/Boxboard,05R10008,01/03/2019,01/03/2024,"11 West Union Street
Allegany, NY 14706
(42.089518, -78.496173)"
Stericycle Inc - Gates,40 Industrial Park Circle,,Rochester,NY,14624,Monroe,8,8473675910,Stericycle Inc,Private,RMW - permit,[28JP0001],Yes,277082,4778809,,,8-2626-00112/00001,09/10/2018,09/09/2023,"40 Industrial Park Circle
Rochester, NY 14624
(43.129232, -77.740065)"
Country Auto Recycling System,371 Wilbur Avenue,,Greenwich,NY,12834,Washington,5,5187960416,Ronald MacNeil,Private,VDF - large - registration,[58V50007],Yes,617791,4769569,,End of Life Vehicles,58V50007,01/08/2019,01/07/2024,"371 Wilbur Avenue
Greenwich, NY 12834
(43.069561, -73.553153)"
LaForge Transfer Station,3090 County Road 30 (Trapping Brook Road),,Wellsville,NY,14895,Allegany,9,5858089000,LaForge Transfer Station,Private,Transfer station - permit,[02R09],Yes,259868,4667111,4.2 - Utilization of GIS and existing spatial data,MSW (Residential/Institutional & Commercial),9-0270-00109/00002,05/31/2016,05/30/2021,"3090 County Road 30 (Trapping Brook Road)
Wellsville, NY 14895
(42.119788, -77.904377)"
Milton Transfer Station,503 Geyser Road,,Ballston Spa,NY,12020,Saratoga,5,5188859220,Town of Milton,Municipal,Transfer station - registration,[46R25],Yes,593613,4766504,4.3 - Utilization of Digital Orthophoto Quads,Land Clearing Debris;Wood (Brush/ Branches/ Trees/ Stumps),46R25,03/24/2003,,"503 Geyser Road
Ballston Spa, NY 12020
(43.045159, -73.85198)"
Green's Auto Repair Inc,300 Beekman-Poughquag Rd,,Poughquag,NY,12570,Dutchess,3,8457245362,Brian Green,Private,VDF - large - registration,[14V50004],Yes,609514,4607488,,End of Life Vehicles;Gasoline;Lead-acid Batteries;Brake Fluid;Used Oil;Waste Tire,14V50004,01/29/2019,01/29/2024,"300 Beekman-Poughquag Rd
Poughquag, NY 12570
(41.611745, -73.685643)"
Blasdell Transfer Station,3675 Jeffrey Boulevard,,Blasdell,NY,14219,Erie,9,7168243766,,,Transfer station - permit,[15T23],Yes,186374,4744105,4.2 - Utilization of GIS and existing spatial data,Construction & Demolition Debris;MSW (Residential/Institutional & Commercial);Sludge (Industrial);Corrugated Cardboard;Metals (Ferrous & Non-Ferrous);Commingled Plastics;Electronics;Wood (Chips),9-1448-00168/00001,10/04/2012,08/19/2021,"3675 Jeffrey Boulevard
Blasdell, NY 14219
(42.785249, -78.834637)"
Ed Crane Farm,7065 College Hill Road,,Clinton,NY,13323,Oneida,6,3157941860,Ed Crane,Private,Composting - SSO - registration,[33P20010],Yes,465292,4766880,4.3 - Utilization of Digital Orthophoto Quads,Food Scraps;Wood (Chips);Manure;Yard Waste,33P20010,07/31/2019,07/30/2024,"7065 College Hill Road
Clinton, NY 13323
(43.053717, -75.426879)"
Northumberland SW & Recycling Station,392 Peters Road,,Northumberland,NY,12831,Saratoga,5,5187929179,Town of Northumberland,Municipal,RHRF - 5 tpd or less - registration,[46R10017],Yes,612859,4782542,1 - No accuracy stated,Commingled Paper;Single Stream;Electronics,46R10017,05/09/2019,05/08/2024,"392 Peters Road
Northumberland, NY 12831
(43.189756, -73.588808)"
Leitz Gravel Pit,Gulf Road,,Frankfort,NY,13340,Herkimer,6,3157245527,Leitz Trucking Corp.,,CDDHRF - concrete rock brick - registration,[22C10014],Yes,486110,4762366,1.1 - Obtained from original submission and unverified process,Concrete;Rock;Brick,22C10014,03/02/2021,03/01/2026,
Franklin County Regional Landfill,828 County Route 20,,Constable,NY,12926,Franklin,5,5184838270,County of Franklin SWMA,County,Landfill - MSW - permit,[17LS0001],Yes,552124,4980020,,MSW (Residential/Institutional & Commercial);Construction & Demolition Debris;Sewage Treatment Plant Sludge;Asbestos (Friable & Non-Friable),5-1699-00003/00005,01/28/2019,01/28/2024,"828 County Route 20
Constable, NY 12926
(44.974465, -74.343777)"
Cardinal Health 414; LLC,25 Fairchild Ave,Bldg. 25; #100,Plainview,NY,11803,Nassau,1,5163498001,Cardinal Health 414; LLC,Private,RMW - radiological storage - registration,[30J10132],Yes,629404,4517328,4.3 - Utilization of Digital Orthophoto Quads,Regulated Medical Waste,30J10132,10/26/2020,10/26/2025,"25 Fairchild Ave
Plainview, NY 11803
(40.795816, -73.461121)"
High Acres Yard Waste Composting and Wood Chipping Facility,Wayneport Road,,Macedon,NY,14502,Wayne,8,5854216210,Waste Management of New York LLC,Private,Composting - yard waste - permit,[59PP0001],Yes,306354,4773375,4.3 - Utilization of Digital Orthophoto Quads,Yard Waste;Wood (Chips);Source Separated Organic Waste (SSOW),8-9908-00162/00021,10/21/2018,10/20/2028,
Van Dyke Septic,4114 County Route 27,,Rock Stream,NY,14878,Yates,8,6075352410,Michael A Van Dyke,,Land application - septage - registration,[62A40006],Yes,337884,4699792,4.1 - Address Matching,Septage,62A50006,06/03/2019,06/02/2024,
Bristol Hill TS,3125 State Rte 3,,Fulton,NY,13069,Oswego,7,3155919211,Oswego County DSW,County,Transfer facility - registration,[38T10002],Yes,391141,4799728,4.2 - Utilization of GIS and existing spatial data,Waste Tires;Commingled Paper & Containers;MSW (Residential/Institutional & Commercial);Construction & Demolition Debris;Single Stream;Wood (Brush/ Branches/ Trees/ Stumps);Food Scraps;Yard Waste;Electronics,38T10002,02/20/2019,02/20/2024,"3125 State Rte 3
Fulton, NY 13069
(43.339737, -76.344947)"
PJ's Auto Parts Inc,2700 West Main Street,,Caledonia,NY,14423,Livingston,8,5855382391,William Jones,Private,VDF - large - registration,[26V50006],Yes,264613,4762430,,,26V50006,06/19/2018,06/18/2023,
Arrowhead Disposal LLC / Ray Forker Site,2049 State Route 14,,Montour Falls,NY,14865,Schuyler,8,6073290041,Ray Forker,Private,Transfer facility - registration,[49T10002],Yes,348575,4688335,,MSW (Residential/Institutional & Commercial),49T10002,06/18/2019,06/18/2024,"2049 State Route 14
Montour Falls, NY 14865
(42.3328, -76.837807)"
Millbrook Dairy Farm,383 Cooke Hollow Road,,Cambridge,NY,12816,Washington,5,5188596169,New England Waste Services of ME; Inc. DBA Casella Organics,,Land application - UFPW - registration,[58A30001],Yes,621444,4762391,,Sludge (Papermill),58A30001,06/21/2018,04/23/2023,"383 Cooke Hollow Road
Cambridge, NY 12816
(43.004078, -73.510442)"
Town of Floyd,7430 Camroden Road,,Floyd (T),NY,13440,Oneida,6,3158656364,Town of Floyd,Municipal,RHRF - 5 tpd or less - registration,[33R10031],Yes,470749,4792408,,Enameled Appliances / White Goods;Electronics;Other Ferrous Scrap Metal,33R10031,09/30/2021,09/29/2026,"7430 Camroden Road
Floyd (T), NY 13440
(43.223579, -75.337145)"
Wells TS and LCD LF,232 Griffin Road,,Wells,NY,12190,Hamilton,5,5189247912,Town of Wells,Municipal,Transfer station - registration,[21R08],Yes,559211,4806968,,,,,,"232 Griffin Road
Wells, NY 12190
(43.415122, -74.268713)"
Ben Weitsman of Albany LLC,300 Smith Blvd.,,Albany,NY,12202,Albany,4,5184624444,Ben Weitsman of Albany; LLC,Private,VDF - large - registration,[01V50101],Yes,601641,4719972,,End of Life Vehicles,01V50105,04/01/2019,04/01/2024,"300 Smith Blvd.
Albany, NY 12202
(42.624747, -73.75848)"
Ross Recycling,28 Martin Lane,,Mongaup Valley,NY,12762,Sullivan,3,8455835231,William Loyd Ross,Private,VDF - large - registration,[53V50002],Yes,517370,4613493,,End of Life Vehicles,53V50002,03/05/2019,03/04/2024,"28 Martin Lane
Mongaup Valley, NY 12762
(41.672249, -74.791664)"
R & R Salvage Inc.,1329 William Street,,Buffalo,NY,14206,Erie,9,7168563608,Robert Redino,Private,VDF - small - registration,[15V20065],Yes,187883,4755100,1 - No accuracy stated,End of Life Vehicles,15V20065,10/10/2019,10/10/2024,"1329 William Street
Buffalo, NY 14206
(42.884843, -78.821617)"
Nassau Suffolk Materials Inc.,255 North Fehr Way,,Bayshore,NY,11706,Suffolk,1,6314621632,George Condos,Private,CDDHRF - concrete rock brick - registration,[52C10313],Yes,644896,4514165,4.3 - Utilization of Digital Orthophoto Quads,Concrete;Brick;Rock,52-0313,05/18/2020,05/17/2025,"255 North Fehr Way
Bayshore, NY 11706
(40.765643, -73.283671)"
Bob J's Auto,7284 Wildcat Rd.,,Port Leyden,NY,13433,Lewis,6,3153484000,Robert Kraeger,Private,Motor vehicle repair shop - large - registration,[25V40009],Yes,474553,4824444,1 - No accuracy stated,End of Life Vehicles,25V40009,09/18/2019,09/17/2024,"7284 Wildcat Rd.
Port Leyden, NY 13433
(43.573506, -75.321062)"
OCRRA - Jamesville,4370  State Route 91,,Jamesville,NY,13078,Onondaga,7,3154532866,OCRRA,,Mulch processing - registration,[34M10047],Yes,413404,4759327,,Wood (Brush/ Branches/ Trees/ Stumps),34M10047,05/10/2018,05/10/2023,
Cayuga Compost,3225 Agard Road,,Trumansburg,NY,14886,Tompkins,7,6073876826,William & Mary Proctor,Private,Composting - source separated organic waste - permit,[55PP0004],Yes,367052,4709267,3.1 - Sportsman Hand-Held Unit (w/ Selective Availability on),,7-5036-00122/00001,11/13/2019,11/12/2029,"3225 Agard Road
Trumansburg, NY 14886
(42.524164, -76.623298)"
SMI Waste Tire Facility,1786 Salcman Road,,Seneca Falls,NY,13165,Seneca,8,3155395624,Seneca Meadows Inc,Private,Waste tire storage - New product manufacturing,[50K03],Yes,349655,4782657,,Waste Tires,50K03,09/09/1997,,"1786 Salcman Road
Seneca Falls, NY 13165
(42.915265, -76.843801)"
Oppenheim Transfer Station,122 State Highway 331,,Oppenheim,NY,13329,Fulton,5,5187365501,Fulton County,County,RHRF - 5 tpd or less - registration,[18R10006],Yes,524942,4768814,,Electronics;Other Ferrous Scrap Metal;Other Non-Ferrous Scrap Metal;Single Stream,18R10006,07/02/2018,07/01/2023,
Manorville Yard Waste Composting Facility,2 Papermill Rd.,,Manorville,NY,11949,Suffolk,1,6318780128,Town of Brookhaven,Municipal,Composting - yard waste - permit,[52Y21],Yes,687000,4522700,4.3 - Utilization of Digital Orthophoto Quads,Yard Waste,,,,"2 Papermill Rd.
Manorville, NY 11949
(40.834334, -72.782638)"
Afton Septic Service,Dale Growver Farm,State Route 41 and Ives Road,Afton,NY,13730,Chenango,7,6076391053,Jason & Lisa Page,Private,Land application - septage - registration,[09A40004],Yes,456249,4673290,1 - No accuracy stated,Septage,09A40004,09/26/2019,09/27/2024,
Brighton (T) C&D Landfill,444 Browncroft Blvd,,Rochester,NY,14610,Monroe,8,5852889205,Town of Brighton,Municipal,Landfill - land clearing debris,[28D07],Yes,293866,4781457,,,28D07,09/22/1994,,"444 Browncroft Blvd
Rochester, NY 14610
(43.15763, -77.535636)"
Lakewood Farms,4024 State Route 14,,Watkins Glen,NY,14891,Schuyler,8,6075359252,David Stamp,,Land application - UFPW - registration,[49A30009],Yes,343985,4696311,,Non-recognizable Food Processing Waste,49A30009,02/02/2021,02/02/2026,
Port Albany Ventures LLC,140 -184 Port Road South,,Albany,NY,12202,Albany,4,5184324276,Sims Metal East LLC,Private,CDDHRF - concrete rock brick - registration,[01C10101],Yes,601270,4719459,4.1 - Address Matching,Concrete;Brick;Rock,01C10101,01/08/2019,01/07/2024,"140 -184 Port Road South
Albany, NY 12202
(42.612919, -73.765279)"
Alfred Transfer Station,394 Satterlee Hill Road,,Almond,NY,14804,Allegany,9,5852685415,Allegany County DPW,County,Transfer facility - registration,[02T10013],Yes,273601,4685615,4.2 - Utilization of GIS and existing spatial data,MSW (Residential/Institutional & Commercial),02T10013,10/03/2019,10/03/2024,"394 Satterlee Hill Road
Almond, NY 14804
(42.288675, -77.746788)"
Park Line Asphalt Maintenance,1877 Montauk Hwy,,Brookhaven,NY,11719,Suffolk,1,6312864726,Richard Mailand & Robert Mailand,Private,Transfer facility - permit,[52R11],Yes,674362,4515950,4.2 - Utilization of GIS and existing spatial data,Street Sweepings;Asphalt;Brick;Concrete;Soil (Clean);Storm Drain & Catch Basin,1-4722-06190/00001,07/22/2019,07/21/2024,"1877 Montauk Hwy
Brookhaven, NY 11719
(40.775624, -72.934368)"
Old Mud Creek Farm,67 Pine Wood Rd.,,Livingston,NY,12534,Columbia,4,4138541507,Old Mud Creek Farm; LLC,Private,Storage - septage - registration,[11A54610],Yes,600885,4667317,1 - No accuracy stated,Septage,11A44610,10/30/2020,10/30/2025,"67 Pine Wood Rd.
Livingston, NY 12534
(42.150392, -73.781866)"
Zoladz Construction Company,13600 Railroad Street,,Alden,NY,14004,Erie,9,7169356575,Zoladz Construction Co.; Inc.,Private,Mulch processing - registration,[15M10081],Yes,215820,4755135,4 - GIS Assisted,Wood (Chips);Wood (Brush/ Branches/ Trees/ Stumps),15M10081,12/21/2021,12/20/2026,"13600 Railroad Street
Alden, NY 14004
(42.895243, -78.480703)"
Stokes Waste Paper Co,25 Van Street,,Staten Island,NY,10310,Richmond,2,7187207220,David Berman,Private,C&D processing - permit,[43W14],Yes,574500,4499100,2.1 - NYSDEC 100 m grid collection,Brick;Construction & Demolition Debris;Soil (Clean);Concrete;Wood (Trees/Stumps);Metals (Ferrous);Metals (Non-Ferrous);Paper / Cardboard,2-6401-00001/00009,11/06/2017,10/30/2022,"25 Van Street
Staten Island, NY 10310
(40.639411, -74.119396)"
Town of Salisbury Transfer Station,2290 State Route 29,,Salisbury (T),NY,13454,Herkimer,6,3154293223,Town of Salisbury,Municipal,Transfer facility - registration,[22T10013],Yes,515896,4775976,,MSW (Residential/Institutional & Commercial);Single Stream;Bulk Metal,22T10013,02/20/2020,02/19/2025,
Hempstead (V) Transfer Station,470 Milburn Avenue,,Hempstead,NY,11550,Nassau,1,5164893400,Village of Hempstead,Municipal,Transfer facility - registration,[30T10117],Yes,617632,4504709,,MSW (Residential/Institutional & Commercial);Concrete;Street Sweepings;Asphalt Pavement,30T10117,09/23/2019,09/23/2024,"470 Milburn Avenue
Hempstead, NY 11550
(40.684558, -73.607492)"
Bill Tefft Trucking LLC,9 Pleasant Street,,Oxford,NY,13830,Chenango,7,6078439718,Blanche J. Tefft,Private,RHRF - 5 tpd or less - registration,[09R10006],Yes,451520,4699017,,PET,09R10006,02/20/2019,02/20/2024,"9 Pleasant Street
Oxford, NY 13830
(42.441933, -75.589343)"
JC Fibers Inc,1779 Mt Read Blvd,,Rochester,NY,14615,Monroe,8,5853427210,Frank Colubriale,Private,CDDHRF - permit,[28CP0026],Yes,283630,4785070,4.2 - Utilization of GIS and existing spatial data,,8-2699-00117/00001,01/13/2022,01/12/2032,"1779 Mt Read Blvd
Rochester, NY 14615
(43.187516, -77.659593)"
Otsego County Chapter NYSARC; Inc.,23 Duane Street,,Oneonta,NY,13820,Otsego,4,6073537831,Otsego County Chaper NYSARC; Inc.,County,RHRF - 5 tpd or less - registration,[39R11201],Yes,493214,4699374,,Plastic,39R11201,04/29/2019,04/29/2024,"23 Duane Street
Oneonta, NY 13820
(42.446332, -75.081727)"
A-1 Compaction (Waste Management of NY),325 Yonkers Ave.,,Yonkers,NY,10701,Westchester,3,9144232160,Waste Management of NY; LLC,Private,Transfer station - permit,[60T12],Yes,594960,4532013,,Construction & Demolition Debris;MSW (Residential/Institutional & Commercial);Commingled Paper & Containers;Single Stream;Metals (Ferrous & Non-Ferrous);Yard Waste;Clean Fill,3-5518-00407/00011,11/20/2019,11/19/2024,"325 Yonkers Ave.
Yonkers, NY 10701
(40.933259, -73.872558)"
Woodhull Auto Supply LLC,5567 McCaslin Road,,Woodhull,NY,14898,Steuben,8,6074585474,Bradley LaBarron,Private,VDF - large - registration,[51V50076],Yes,302237,4653067,4.1 - Address Matching,End of Life Vehicles,51V50076,11/02/2020,11/01/2025,"5567 McCaslin Road
Woodhull, NY 14898
(42.004023, -77.38726)"
Taylor Solid Waste Facility,5730 State Route 434,,Apalachin,NY,13732,Tioga,7,6072580339,Robert Taylor,Private,RHRF - permit,[54M08],Yes,403589,4659715,1 - No accuracy stated,Commingled Containers;Paperboard/Boxboard;Commingled Paper;Source Separated Recyclables (Metal/Glass/Paper/Plastic);Office Paper;Glass;Metals (Ferrous);Metals (Non-Ferrous);Plastics,7-4930-00252/00001,12/13/2017,03/18/2024,"5730 State Route 434
Apalachin, NY 13732
(42.084978, -76.164793)"
Quakertown Road Mine,3870-4198 County Route 20,,Warsaw,NY,14569,Wyoming,9,5857862571,WYCO Construction; Inc.,Private,CDDHRF - asphalt pavement and millings - registration,[61C20016],Yes,236193,4734537,4.2 - Utilization of GIS and existing spatial data,Asphalt Millings;Asphalt Pavement,61C20016,05/27/2021,05/27/2026,
S&M Prompt Rubbish Removal Service Inc,7 Linden Place,,Oceanside,NY,11572,Nassau,1,5167642950,Salvatore Mancuso,Private,Transfer station - permit,[30T100],Yes,613894,4497828,1 - No accuracy stated,Construction & Demolition Debris;Waste Tires;Commingled Paper & Containers,1-2820-04784/00001,07/21/2014,04/12/2019,"7 Linden Place
Oceanside, NY 11572
(40.623005, -73.653621)"
Savy's Recycling Inc,27 Montclair Ave,,St. James,NY,11780,Suffolk,1,6319798450,Savy's Recycling Inc.,Private,C&D processing - registration,[52W181R],Yes,654743,4525104,,Asphalt;Brick;Concrete;Rock;Soil (Clean),52W181R,05/01/2013,,"27 Montclair Ave
St. James, NY 11780
(40.86371, -73.165206)"
Beacon (C),90-96 Dennings Avenue,,Beacon,NY,12508,Dutchess,3,8458314390,City of Beacon,,Composting - yard waste  - registration,[14Y01],Yes,585022,4595693,4.3 - Utilization of Digital Orthophoto Quads,,14Y01,05/18/2006,,"90-96 Dennings Avenue
Beacon, NY 12508
(41.494477, -73.981726)"
Maloy - Dennis Pit,Osborne Road,,Colonie,NY,12211,Albany,4,,James H Maloy Inc,Private,C&D processing - registration,[01W13],Yes,600721,4729468,,,01W13,07/29/2011,,
Scotland Yards,198 New Scotland South Road,,Slingerlands,NY,12159,Albany,4,5184390600,HGNS Inc.,Private,Composting - yard waste  - registration,[01Y21],Yes,588706,4720203,4.2 - Utilization of GIS and existing spatial data,,01Y21R,02/21/2012,,"198 New Scotland South Road
Slingerlands, NY 12159
(42.611599, -73.906539)"
Liberty Bell Trucking,1341 Route 52,,Carmel,NY,10512,Putnam,3,8458789294,Liberty Bell Trucking,Private,C&D processing - registration,[40W04],Yes,609758,4596121,,Asphalt;Concrete;Construction & Demolition Debris,,,,"1341 Route 52
Carmel, NY 10512
(41.509107, -73.684003)"
Geneseo Transfer Station          (T),4952 Warner Road,,Geneseo,NY,14454,Livingston,8,5852431544,Town of Geneseo,Municipal,Transfer facility - registration,[26T10018],Yes,273578,4739609,1 - No accuracy stated,MSW (Residential/Institutional & Commercial);Commingled Paper & Containers;Metals (Ferrous & Non-Ferrous);Electronics;Corrugated Cardboard;Newspaper;Waste Tires,26T10018,05/02/2018,05/01/2023,"4952 Warner Road
Geneseo, NY 14454
(42.778194, -77.76719)"
University at Buffalo (SUNY) South Campus,220 Winspear Avenue,278 Biomedical Research Building,Buffalo,NY,14215,Erie,9,7168293301,University at Buffalo (SUNY),State,RMW - treatment at the site of generation - registration,[15J20082],Yes,188523,4762264,4.2 - Utilization of GIS and existing spatial data,Regulated Medical Waste,15J20082,01/08/2021,01/08/2026,"220 Winspear Avenue
Buffalo, NY 14215
(42.949042, -78.818336)"
Pleasant Valley Wine Co,8260 Pleasant Valley Road,,Hammondsport,NY,1840,Steuben,8,6075696133,Doyle Acquisiton Corp.,Private,Land application - UFPW - registration,[51A30020],Yes,314596,4696798,4 - GIS Assisted,Non-recognizable Food Processing Waste,51A30020,08/02/2019,08/01/2024,"8260 Pleasant Valley Road
Hammondsport, NY 1840
(42.402175, -77.251492)"
Cicero Ready Mix Plant And Aggregate Storage Facility,770 Northern Boulevard,,Cicero,NY,13057,Onondaga,7,3154335115,Riccelli Northern LLC,Private,CDDHRF - asphalt pavement and millings - registration,[34C20077],Yes,411605,4777355,1 - No accuracy stated,Asphalt Millings;Asphalt Pavement,34C20077,02/07/2020,02/06/2025,
Auburn Landfill No 2,311 N. Division St.,,Auburn,NY,13021,Cayuga,7,3152526441,City of Auburn,Municipal,Composting - yard trimmings - registration,[06P10002],Yes,369852,4756819,,Yard Waste,06P10002,07/03/2018,05/03/2023,"311 N. Division St.
Auburn, NY 13021
(42.951885, -76.586778)"
Keith Brothers Dairy,555 Mason Road,,Waterville,NY,13480,Oneida,6,3158418225,Dustin Keith,,Storage - manure & food processing waste - registration,[33A20009],Yes,465582,4748585,1 - No accuracy stated,Non-recognizable Food Processing Waste,33A20009,04/18/2019,04/17/2024,"555 Mason Road
Waterville, NY 13480
(42.890047, -75.422003)"
East Northport Landfill,101 Town Line Rd,,East Northport,NY,11731,Suffolk,1,6313513187,Town of Huntington,Municipal,Transfer facility - registration,[52T10353],Yes,644261,4527112,4.3 - Utilization of Digital Orthophoto Quads,Yard Waste,52T10353,07/01/2021,07/01/2026,"101 Town Line Rd
East Northport, NY 11731
(40.880333, -73.286591)"
New Style Recycling Corp,49-10 Grand Avenue,,Maspeth,NY,11378,Queens,2,7183264175,Antoinette Cristina,Private,C&D processing - permit,[41CD0053],Yes,591300,4507948,,Construction & Demolition Debris;Soil (Clean);Wood (Clean);Concrete;Metals (Non-Ferrous);Metals (Ferrous);Wood (Unadulterated);Paper / Cardboard;Plastics;Waste Tires;Wood (Unadulterated Pallets),2-6304-00021/00003,03/10/2017,03/09/2022,"49-10 Grand Avenue
Maspeth, NY 11378
(40.717512, -73.918967)"
Wilmington Transfer Station,Bonnieview Road,,Wilmington,NY,12997,Essex,5,5189467179,Essex County,County,RHRF - registration,[16R34],Yes,596330,4921122,,,16R34,02/09/1994,,
South Island Industries,2 Rason Rd,,Inwood,NY,11096,Nassau,1,5163711842,Bill Haughland,Private,C&D processing - registration,[30W15R],Yes,606273,4498313,,Concrete;Soil (Clean);Rock,30W15R,12/16/1998,,"2 Rason Rd
Inwood, NY 11096
(40.628093, -73.744058)"
North Norwich Recycling Facility,6701 NYS Route 12,,Norwich,NY,13815,Chenango,7,6073371815,Chenango County,County,RHRF - 5 tpd or less - registration,[09R10015],Yes,456379,4715415,4.3 - Utilization of Digital Orthophoto Quads,Paper / Cardboard;Junk Mail;Newspaper;Commingled Containers;Metals (Ferrous);Metals (Non-Ferrous);White Goods;Plastics;Electronics,09R10015,02/20/2019,02/20/2024,
R F Koskowski Automotive Sales,857 Hannibal Street,,Fulton,NY,13069,Oswego,7,3155936310,Ronald F. Koskowski,Private,VDF - small - registration,[38V20030],Yes,383239,4797983,,End of Life Vehicles,38V20030,05/08/2019,05/07/2024,"857 Hannibal Street
Fulton, NY 13069
(43.325928, -76.440136)"
Emerson Recycling Corp,63-65 Emerson Place,,Brooklyn,NY,11205,Kings,2,7186221799,Stephen Leone,Private,RHRF - registration,[24MF5],Yes,587665,4505510,,Commingled Paper;Metals (Aluminum);Paper / Cardboard;Office Paper,24MF5,,,"63-65 Emerson Place
Brooklyn, NY 11205
(40.695801, -73.962596)"
Rich Thaine Repair,12517 Ridge Road,,Medina,NY,14103,Orleans,8,5857981234,Richard Thaine,Private,Motor vehicle repair shop - small - registration,[37V10005],Yes,230917,4796999,1 - No accuracy stated,Scrap Metal - Aluminum ;Scrap Metal - Ferrous ;Scrap Metal - Non-ferrous,37V10005,01/03/2020,01/03/2025,"12517 Ridge Road
Medina, NY 14103
(43.278859, -78.312071)"
Ontario Composting Facility,2200 Lake Road,,Ontario,NY,14519,Wayne,8,3155242941,Town of Ontario WWTP,Municipal,Composting - biosolids/other - permit,[59C02],Yes,315345,4793822,4.3 - Utilization of Digital Orthophoto Quads,Biosolids,8-5434-00006/00005,01/05/2018,01/04/2023,"2200 Lake Road
Ontario, NY 14519
(43.27552, -77.277764)"
B&B Auto Salvage,9362 State Route 9,,Chazy,NY,12921,Clinton,5,5188467800,Robert Bourgeois,Private,VDF - small - registration,[10V20002],Yes,624534,4969841,4 - GIS Assisted,End of Life Vehicles,10V20002,07/25/2019,07/25/2024,"9362 State Route 9
Chazy, NY 12921
(44.870298, -73.422983)"
Long Island Compost Farm #28,407 Wading River Road,,Riverhead,NY,11949,Suffolk,1,,Long Island Compost Corp.,Private,Composting - yard trimmings - registration,[52P10343],Yes,684680,4522914,4.3 - Utilization of Digital Orthophoto Quads,Yard Waste;Source Separated Organic Waste (SSOW),52-0343,04/29/2021,04/28/2023,"407 Wading River Road
Riverhead, NY 11949
(40.834926, -72.809779)"
Repurposed Organics LLC; Ogden Rd Farm,Ogden Road Farm,6195 Ogden Rd,Westfield,NY,14787,Chautauqua,9,7162344026,Robert Schofield,Private,Land application - UFPW - registration,[07A30004],Yes,121548,4689906,1.1 - Obtained from original submission and unverified process,Non-recognizable Food Processing Waste,07A30004,07/16/2018,07/16/2023,
Cooper Tank and Welding Corp,222 Maspeth Avenue,,Brooklyn,NY,11211,Kings,2,7183847727,Adrienne Cooper,Private,C&D processing - permit,[24W21],Yes,590039,4507913,,Construction & Demolition Debris;Metals (Ferrous);Metals (Non-Ferrous);Plastics;Paper / Cardboard;Wood (Chips);Concrete,2-6101-00061/00003,11/02/2018,10/28/2020,"222 Maspeth Avenue
Brooklyn, NY 11211
(40.717386, -73.933984)"
